time,timestamp,CPU %,Memory GB,GPU utilization %,DiskIO %,process CPU %,process Memory GB,GPU memory GB,CPU power,GPU power,Battery %,com.lenovo.quantum.exe,com.lenovo.quantum.exe,mcpMgmtService.exe,mcpMgmtService.exe,lenovo.pfm.pipe.exe
2025-11-10 14:56:46,1762757806563,18.7,25.16,1.48,81.6,0.22,1.72,2.01,0,0,99,748.68,17.75,17.62,387.42,592.11
2025-11-10 14:57:02,1762757822385,40.7,25.19,0.8,81.6,0.0,1.72,2.0,0,0,99,747.5,17.7,17.62,387.17,592.11
2025-11-10 14:57:18,1762757838458,30.8,25.16,0.52,81.6,37.27,2.05,2.01,0,0,99,1032.23,17.7,17.62,387.78,639.34
2025-11-10 14:57:35,1762757855505,69.8,25.33,0.68,81.6,5.58,2.14,2.01,0,0,99,1126.97,17.7,17.62,387.78,641.07
2025-11-10 14:57:52,1762757872382,45.4,25.31,1.19,81.6,2.64,2.16,1.94,0,0,99,1144.37,17.7,17.62,387.91,641.07
2025-11-10 14:58:08,1762757888596,44.2,25.48,4.66,81.6,0.33,2.29,1.96,0,0,99,1281.95,17.7,17.62,391.12,641.05
2025-11-10 14:58:25,1762757905970,53.5,25.72,0.62,81.7,0.77,2.3,1.96,0,0,99,1282.56,17.7,17.62,391.19,641.04
2025-11-10 14:58:42,1762757922597,71.9,26.06,0.62,81.7,0.56,2.3,1.97,0,0,99,1289.06,17.7,17.62,391.62,641.04
2025-11-10 14:58:58,1762757938503,35.3,25.61,0.4,81.6,0.33,2.34,1.98,0,0,99,1326.54,17.7,17.62,391.61,641.04
2025-11-10 14:59:14,1762757954484,30.7,25.79,2.86,81.6,0.56,2.36,1.97,0,0,99,1347.41,17.7,17.62,391.61,641.04
2025-11-10 14:59:30,1762757970679,49.2,26.41,2.54,81.7,0.0,2.36,1.97,0,0,99,1348.42,17.7,17.62,391.75,641.04
2025-11-10 14:59:46,1762757986363,58.9,25.95,0.34,81.7,0.77,2.36,1.97,0,0,99,1349.68,17.7,17.62,391.82,641.04
2025-11-10 15:00:02,1762758002418,49.0,25.95,0.35,81.7,0.99,2.36,1.97,0,0,99,1350.29,17.7,17.62,391.27,641.04
2025-11-10 15:00:18,1762758018352,29.5,25.95,0.5,81.7,0.78,2.36,1.97,0,0,99,1351.06,17.7,17.62,391.27,641.04
2025-11-10 15:00:34,1762758034326,35.5,25.97,0.29,81.7,1.21,2.39,1.97,0,0,99,1376.89,17.7,17.62,391.34,641.04
2025-11-10 15:00:52,1762758052777,34.7,26.02,17.03,81.7,0.67,2.39,2.03,0,0,99,1377.65,17.7,17.7,391.62,641.04
2025-11-10 15:01:13,1762758073460,34.7,26.03,1.4,81.7,0.89,2.39,2.04,0,0,99,1379.55,17.79,17.7,391.55,641.18
2025-11-10 15:01:29,1762758089300,31.3,25.79,1.75,81.7,2.42,2.39,2.17,0,0,99,1380.0,17.79,17.7,391.77,641.18
